,address,delegation,refund_in_ujuno,refun_in_juno
0,juno1qqrh4vyy6kykmmjcvfwx3ugvv4w7ljs6tae0y0,16928976,846448,0.846448
1,juno1qqgga7z7frzmmavqh4a3ypyh0z5hd2y7u477hm,173859273,8692963,8.692963
2,juno1qq2wnkjlky6uswlgs7quxdrv0lmc2h2vxucup3,50193070,2509653,2.509653
3,juno1qq5mfgcs3e0wvsrn8dhngdy44tkafq0fpv47kh,1500,75,7.5e-05
4,juno1qp8sx4ezrjhh6pqtdqe5qdl8fcd4xrqhe86zqx,1000,50,5e-05
5,juno1qpe2e6z2jjrehqxxp44lnt6kjfvd93qs3f06ty,10000000,500000,0.5
6,juno1qpmlx70rgmzvradc2smj4v69m20tdqqp89l3pk,5658637,282931,0.282931
7,juno1qz0nsapyplhz2tgkl28nll03gm42up3h9ntylf,1020000,51000,0.051
8,juno1qrdn5e8slakknuedcmxftrua6lch0z6wspd0tp,206946747,10347337,10.347337
9,juno1qrhm4f0cwhre5xq53hhpgpyyh35lzmf3nvzyac,116000000,5800000,5.8
10,juno1qyz2t5qxl4qkzedd8x9lu4dv48rsxxsmy266z3,9000000,450000,0.45
11,juno1qyfyvgehghesjp7pd0xtgm2737q0m65dmuk530,1001,50,5e-05
12,juno1qy5q28akqpgm2rrx8u9cw3d5q3xcjmj55hu9sv,1161819,58090,0.05809
13,juno1qyhvgtqghlh69uqy6rz6ltgqmaaugye9gh8ml9,74041778,3702088,3.702088
14,juno1qycfaxw2x0hu4cvc2m2023fp7lapaes7cpk5ly,1764000000,88200000,88.2
15,juno1q99rnv2tq4hwgmn8aukhasz4yt6zlft02rqwmn,117785124,5889256,5.889256
16,juno1q9xw0yes8w8hxvccvf954cfx9e0qcyj96y5kpv,15141739,757086,0.757086
17,juno1q9fzxk8jpv88yunc3f7lf2v3srnffxhmkuy6nm,9000000,450000,0.45
18,juno1q90ze5xxczlptkqrr8u2u8z7mrtxmf8e2y7fgq,23830000,1191500,1.1915
